Date,Open,High,Low,Close,Adj Close,Volume
05/18/2015,87.309998,87.459999,86.779999,86.849998,77.778053,6395400
05/19/2015,86.470001,87.209999,86.209999,86.989998,77.903427,9777100
05/20/2015,87.389999,87.400002,86.910004,87.129997,78.028816,7276600
05/21/2015,87.279999,87.440002,86.959999,87.209999,78.100449,8357400
05/22/2015,86.989998,87.099998,86.5,86.519997,77.482529,7598400
05/26/2015,86.040001,86.370003,85.029999,85.349998,76.434723,11289000
05/27/2015,85.300003,85.889999,84.769997,85.110001,76.219818,10778300
05/28/2015,85.110001,85.57,84.82,85.110001,76.219818,8038900
05/29/2015,85.099998,85.580002,84.879997,85.199997,76.300415,14631300
06/01/2015,85.25,85.470001,84.800003,85.129997,76.237717,9077500
06/02/2015,85.120003,85.589996,84.910004,85.139999,76.246666,9328300
06/03/2015,85.230003,85.839996,84.860001,84.949997,76.07653,8170100
06/04/2015,84.699997,84.889999,83.779999,84.220001,75.422783,12607300
06/05/2015,84.129997,85,83.980003,84.279999,75.476509,11388500
06/08/2015,84.18,85.209999,83.93,84.849998,75.986969,12244700
06/09/2015,85.290001,85.43,84.489998,84.580002,75.745171,8105500
06/10/2015,85.839996,85.970001,85,85.209999,76.309357,10147000
06/11/2015,85.300003,85.699997,84.889999,85.089996,76.201897,7759300
06/12/2015,84.580002,84.68,83.860001,84.019997,75.24366,8347300
06/15/2015,83.529999,83.980003,83.190002,83.720001,74.975006,9563900
06/16/2015,83.809998,84.75,83.400002,84.68,75.834732,9100100
06/17/2015,85.029999,85.129997,84.410004,84.730003,75.879509,9090200
06/18/2015,84.800003,85.959999,84.720001,85.480003,76.551163,10247800
06/19/2015,84.919998,85.480003,84.919998,85.209999,76.309357,16129600
06/22/2015,85.389999,85.599998,84.970001,85.169998,76.273544,9465100
06/23/2015,85.220001,85.279999,84.589996,85.07,76.183983,10223900
06/24/2015,84.889999,85.339996,84.660004,84.68,75.834732,11800100
06/25/2015,84.849998,84.849998,83.93,83.93,75.163063,10259400
06/26/2015,83.830002,84.099998,83.489998,83.860001,75.10038,19023300
06/29/2015,83.050003,83.449997,82.800003,82.82,74.169006,11739200
06/30/2015,83.739998,84.900002,82.800003,83.199997,74.5093,14981100
07/01/2015,83.279999,83.529999,82.110001,82.370003,73.766037,13529100
07/02/2015,82.790001,83.279999,82.550003,83.139999,74.455589,9188000
07/06/2015,82.419998,83.059998,82.120003,82.529999,73.909325,11694400
07/07/2015,82.190002,83.230003,81.489998,82.870003,74.213783,15641500
07/08/2015,82.25,82.980003,81.910004,81.970001,73.407791,10057000
07/09/2015,82.870003,83.150002,81.580002,81.599998,73.076447,11485600
07/10/2015,82.089996,82.489998,81.720001,82.220001,73.631676,8628700
07/13/2015,82.110001,82.610001,82.07,82.419998,73.810791,8026700
07/14/2015,82.379997,83.32,82.260002,83.110001,74.428726,9310200
07/15/2015,82.610001,83.419998,82.400002,82.760002,74.115288,9289200
07/16/2015,83.18,83.480003,82.800003,82.910004,74.249603,8267600
07/17/2015,82.510002,82.839996,81.790001,82.610001,73.980949,12156000
07/20/2015,82.150002,82.410004,81.599998,81.760002,73.219727,12957100
07/21/2015,81.93,82.43,81.43,81.660004,73.13018,8677100
07/22/2015,82.349998,82.470001,81.580002,81.790001,73.246597,13181500
07/23/2015,81.730003,81.970001,80.970001,81.139999,72.664497,10496100
07/24/2015,81.160004,81.160004,79.720001,79.940002,71.589851,14888500
07/27/2015,79.230003,80.129997,78.970001,79.260002,70.980865,14996100
07/28/2015,79.699997,82.669998,79.57,82.480003,73.864525,19777300
07/29/2015,82.18,83.199997,81.910004,83.139999,74.455589,13913800
07/30/2015,83.18,83.32,82.419998,83.010002,74.339165,11139900
07/31/2015,81.669998,81.669998,78.93,79.209999,70.936089,26232700
08/03/2015,78.699997,78.93,77.629997,78.059998,69.906219,15767700
08/04/2015,77.879997,78.610001,76.93,77.169998,69.109184,18874400
08/05/2015,77.870003,78.230003,76.900002,77.169998,69.109184,16544400
08/06/2015,76.940002,78.260002,76.910004,78.089996,69.933075,13005200
08/07/2015,77.550003,77.970001,76.620003,76.830002,68.804703,12187600
08/10/2015,77.089996,78.75,77.089996,78.75,70.524132,14876000
08/11/2015,77.010002,78.07,76.330002,77.489998,70.045059,14486400
08/12/2015,77.440002,78.870003,76.959999,78.790001,71.220177,16492400
08/13/2015,78.32,79.290001,78.269997,78.650002,71.09362,13154100
08/14/2015,78.639999,79.279999,78.25,78.360001,70.831482,9129300
08/17/2015,77.93,79.18,77.449997,78.769997,71.20208,9365400
08/18/2015,78.529999,78.669998,77.580002,77.900002,70.415672,9815300
08/19/2015,77.510002,77.580002,75.93,76.230003,68.90612,16843100
08/20/2015,76,76.18,74.57,74.57,67.405602,17811200
08/21/2015,74.099998,74.889999,72.07,72.129997,65.200027,25488800
08/24/2015,67.989998,71.379997,66.550003,68.720001,62.117649,35531200
08/25/2015,71.309998,71.440002,68.199997,68.709999,62.108612,30409700
08/26/2015,70.629997,72.75,69.150002,72.5,65.534485,34436000
08/27/2015,73.800003,74.889999,73.010002,74.849998,67.658699,24571000
08/28/2015,74.709999,75.980003,74.410004,75.07,67.857567,18997300
08/31/2015,74.279999,75.550003,73.300003,75.239998,68.01123,19570100
09/01/2015,73.300003,73.349998,71.510002,72.080002,65.154831,24092900
09/02/2015,73.059998,73.239998,72,73.230003,66.194344,16936900
09/03/2015,73.639999,74.910004,73.339996,73.790001,66.700546,13451900
09/04/2015,72.93,73.139999,72.25,72.459999,65.498337,14902500
09/08/2015,73.720001,73.720001,72.970001,73.5,66.438393,13626900
09/09/2015,74.370003,74.68,71.849998,72,65.08252,17246200
09/10/2015,72.809998,72.980003,71.800003,72.519997,65.552567,12353900
09/11/2015,72.400002,72.720001,72.010002,72.690002,65.70623,12172300
09/14/2015,72.309998,72.580002,71.760002,72.489998,65.525436,10738500
09/15/2015,72.440002,73.309998,72.410004,72.860001,65.859901,11979800
09/16/2015,73.510002,74.699997,73.370003,74.300003,67.16156,15214200
09/17/2015,74.410004,75.470001,73.849998,74.459999,67.306168,15603000
09/18/2015,73.260002,73.559998,72.120003,72.68,65.697189,23180200
09/21/2015,73.099998,73.610001,72.730003,73.389999,66.338989,10853000
09/22/2015,72.349998,73.519997,72.019997,72.739998,65.751427,14245200
09/23/2015,72.870003,73.199997,72.290001,72.300003,65.353706,13784800
09/24/2015,72,73.150002,71.720001,72.730003,65.742401,14584200
09/25/2015,73.290001,73.529999,72.760002,73.230003,66.194344,15175300
09/28/2015,72.620003,73.459999,72.400002,72.599998,65.624886,14571900
09/29/2015,72.650002,73.190002,72.139999,72.970001,65.959328,13754400
09/30/2015,73.400002,74.349998,73.330002,74.349998,67.206741,18176500
10/01/2015,75.199997,75.580002,73.300003,74.059998,66.944603,14397800
10/02/2015,73.389999,75.900002,73.029999,75.879997,68.589752,18811300
10/05/2015,76.650002,77.150002,75.790001,76.809998,69.430397,18486700
10/06/2015,76.959999,78.559998,76.260002,77.889999,70.406631,18757900
10/07/2015,78.970001,79.290001,77.529999,79.199997,71.590767,18666300
10/08/2015,79.309998,80.110001,78.540001,80.029999,72.341026,14344700
10/09/2015,80.050003,80.169998,78.620003,79.260002,71.645004,17384700
10/12/2015,79.589996,79.589996,78.720001,79.300003,71.681175,9931800
10/13/2015,78.720001,79.550003,78.489998,79.160004,71.554619,12326600
10/14/2015,78.970001,80.480003,78.779999,80.160004,72.458549,14486000
10/15/2015,80.190002,81.529999,79.900002,81.480003,73.651726,13640900
10/16/2015,82.260002,82.5,81.449997,82.480003,74.555641,14304400
10/19/2015,82.010002,82.169998,80.760002,80.989998,73.208786,14155800
10/20/2015,80.550003,81.059998,80.199997,80.830002,73.064163,12312400
10/21/2015,80.860001,81.150002,80.110001,80.209999,72.503746,10274900
